45 - 54,Female,Bachelor's Degree,United Kingdom,I'm not familiar at all.,Weekly,No experience or particular interest.,5,5,5,5,5,5,5,4,5,2,4,4,2,5,5,5,5,5,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2,2,2,4,4,2,1,4,5,4,4,1,1,1,1,1,2,2,2,2,4,4,4,4,
18 - 24,Male,Bachelor's Degree,Portugal,I'm familiar but don't have hands-on experience.,Daily,No experience or particular interest.,4,5,3,5,2,5,5,4,5,2,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,4,4,4,4,4,4,1,1,1,4,1,3,1,1,2,2,2,2,2,
18 - 24,Male,Bachelor's Degree,greece,I've heard of it but don't know much.,Monthly,"Yes, as a hobby or pastime.",5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,4,4,4,1,2,3,2,1,2,3,2,2,3,3,1,3,5,5,4,5,
25 - 34,Male,Bachelor's Degree,Mexico,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,4,4,3,1,1,3,4,2,2,4,4,4,2,4,5,4,4,3,1,1,1,1,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,4,5,5,4,4,5,4,4,3,3,1,1,1,1,1,5,5,5,5,2,5,4,4,
18 - 24,Male,High School or lower,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,4,4,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,3,5,5,5,4,5,5,4,4,1,1,1,1,1,4,4,4,2,5,2,5,4,
25 - 34,Male,Bachelor's Degree,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,3,4,2,2,3,3,2,4,3,2,2,3,2,5,5,5,5,4,5,5,5,5,5,5,5,5,1,3,1,1,1,2,1,1,1,2,1,1,2,4,4,3,3,2,4,5,5,4,3,3,4,3,1,2,1,1,1,5,5,5,5,4,4,4,3,
25 - 34,Male,Bachelor's Degree,Mexico,I've heard of it but don't know much.,Daily,"No, but I appreciate the arts and often view such content.",4,4,4,4,3,4,4,4,5,5,5,4,5,5,5,5,5,4,4,5,4,4,5,5,4,5,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,4,4,3,2,1,4,2,2,1,1,3,1,1,5,5,4,4,4,2,4,3,
25 - 34,Male,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",2,4,4,5,5,5,5,5,5,4,5,4,3,5,5,5,4,4,5,5,4,4,5,5,5,4,1,1,1,1,2,1,1,1,1,2,4,2,1,4,2,3,3,2,2,2,3,2,2,4,2,2,1,4,1,1,1,5,5,5,3,5,5,5,5,"while the animated image is clear, it appears to not be real but does meet other requirements."
25 - 34,Male,Bachelor's Degree,Greece,I'm familiar but don't have hands-on experience.,Daily,"Yes, as a hobby or pastime.",4,4,4,3,3,5,5,5,4,4,4,5,5,2,3,3,2,2,4,5,4,4,5,4,4,5,1,1,1,1,1,2,3,2,1,3,2,1,1,1,2,3,1,4,4,2,2,1,4,4,3,4,1,1,1,1,1,4,3,1,2,4,1,4,3,
35 - 44,Male,Doctorate or higher,Portugal ,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,3,5,5,5,5,1,1,1,2,1,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,1,1,1,1,1,5,5,5,5,4,4,4,4,
25 - 34,Male,Bachelor's Degree,England,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, I'm a professional.",4,4,4,4,3,4,5,4,4,4,4,3,3,4,3,4,3,3,5,5,5,5,4,4,4,4,1,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,4,2,4,4,"There was one image that appeared to be an intentional cartoon, which was difficult to evaluate using the available answers. It was a reasonable representation of an illustration, but not of a realistic photo!"
18 - 24,Female,Bachelor's Degree,South Africa,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",4,5,4,5,4,4,4,4,4,4,5,3,4,4,3,2,3,2,3,4,1,3,5,4,4,4,1,1,1,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,3,4,3,3,4,4,4,4,
25 - 34,Non-binary / third gender,Master's Degree,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,1,1,5,5,5,5,5,2,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,2,3,
35 - 44,Female,Master's Degree,United Kingdom ,I've heard of it but don't know much.,Daily,"Yes, as a hobby or pastime.",5,4,5,4,5,3,1,4,4,4,1,4,4,5,5,5,5,4,2,2,2,4,5,5,5,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,No
25 - 34,Female,Bachelor's Degree,Mexico,I've heard of it but don't know much.,Daily,"No, but I appreciate the arts and often view such content.",5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,1,4,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,4,4,2,2,2,4,2,2,1,1,1,1,1,5,5,2,4,5,5,5,5,Everything was clear.
35 - 44,Female,High School or lower,South Africa ,I've heard of it but don't know much.,Daily,No experience or particular interest.,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,1,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,3,3,3,4,4,4,3,4,3,4,3,
35 - 44,Female,Associate's Degree or equivalent,England,I've heard of it but don't know much.,Daily,No experience or particular interest.,4,4,4,2,4,4,2,4,4,4,4,2,2,4,4,4,4,4,1,1,1,1,4,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,2,2,1,1,1,1,1,4,4,2,2,1,1,1,1,
55 - 64,Female,Bachelor's Degree,England,I've heard of it but don't know much.,Weekly,No experience or particular interest.,2,1,2,2,2,4,4,4,5,2,4,3,3,4,4,4,3,4,2,2,1,2,5,5,4,3,1,1,1,1,1,1,2,1,1,3,2,2,3,2,1,2,2,1,4,4,2,2,4,4,3,3,1,1,1,1,1,4,4,2,2,4,2,4,3,
18 - 24,Female,High School or lower,SOUTH AFRICA,I have some experience (have taken courses or dabble in it).,Daily,I have taken courses or received training.,5,4,4,4,4,3,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
25 - 34,Female,Bachelor's Degree,Portugal,I've heard of it but don't know much.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,4,4,5,3,2,5,1,1,1,5,5,5,5,4,2,5,3,1,1,1,1,1,2,2,2,2,4,1,1,3,1,1,1,1,1,5,5,4,1,5,5,1,3,1,1,1,1,1,4,5,2,3,5,5,5,5,
35 - 44,Female,Bachelor's Degree,Greece,I'm familiar but don't have hands-on experience.,Daily,I have taken courses or received training.,5,5,4,4,4,5,4,5,5,5,4,3,4,3,4,3,3,2,4,4,3,4,5,4,4,4,1,1,1,1,1,3,4,2,2,2,3,1,2,1,1,1,1,1,4,,4,3,5,3,2,4,1,1,1,1,1,4,4,3,4,4,2,3,2,"I did not expect to get to fully animated images at the end, but I enjoyed the survey. Good luck with the results!"
25 - 34,Male,Master's Degree,Germany,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",2,4,3,2,2,4,4,3,1,4,4,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,4,5,4,4,4,4,4,4,3,1,1,1,1,1,4,4,4,4,4,4,4,3,
25 - 34,Female,Master's Degree,portugal,I've heard of it but don't know much.,Weekly,No experience or particular interest.,4,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,2,2,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,4,4,2,1,4,3,3,2,3,4,4,2,2,4,4,4,2,1,1,1,1,1,4,4,4,3,5,4,4,4,
18 - 24,Female,Bachelor's Degree,South Africa,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,1,1,1,1,1,1,2,5,1,4,3,2,2,1,1,1,1,1,4,4,4,4,4,4,3,3,1,1,1,1,1,4,5,4,4,5,2,4,4,No comments
25 - 34,Non-binary / third gender,Bachelor's Degree,The Netherlands,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, I'm a professional.",2,1,2,2,1,4,4,3,2,2,2,2,2,5,4,5,4,5,2,2,2,2,4,5,4,4,1,1,1,1,1,1,1,1,1,4,2,1,1,4,3,4,4,4,4,2,2,2,5,5,2,3,1,4,1,1,1,5,5,2,4,5,3,3,3,
25 - 34,Female,Associate's Degree or equivalent,Mexico,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,3,2,2,4,4,4,4,5,5,5,5,5,2,2,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,5,4,4,3,5,1,1,1,1,1,4,2,2,2,5,5,5,5,
35 - 44,Male,Master's Degree,Greece,I have some experience (have taken courses or dabble in it).,Multiple times a day,No experience or particular interest.,2,3,2,3,1,2,4,1,2,2,1,2,2,3,2,4,2,2,1,2,1,1,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,3,3,2,1,2,1,1,1,1,1,5,5,4,4,5,3,5,5,
25 - 34,Male,Doctorate or higher,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,4,5,4,5,3,3,4,2,4,5,4,4,4,5,5,4,5,5,5,5,4,1,1,1,1,1,2,2,2,2,2,4,1,1,1,1,1,1,4,3,3,2,3,4,5,3,4,1,1,1,1,1,5,5,4,5,5,2,4,4,No
65 - 74,Female,Master's Degree,Italy,I have some experience (have taken courses or dabble in it).,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,4,4,5,4,4,4,5,4,5,5,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,
65 - 74,Female,High School or lower,UK,I've heard of it but don't know much.,Daily,"No, but I appreciate the arts and often view such content.",2,4,4,2,3,3,4,4,5,2,2,2,3,5,5,5,4,4,1,2,2,2,4,4,4,4,1,2,1,1,1,1,1,1,1,2,1,1,1,2,4,3,3,4,4,4,4,4,4,2,2,2,1,1,1,1,1,2,2,1,1,5,4,3,4,
18 - 24,Male,Bachelor's Degree,Poland,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,4,5,4,4,2,4,4,4,4,5,3,4,4,4,4,4,4,5,4,5,5,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,4,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,4,4,5,1,5,5,
55 - 64,Female,Bachelor's Degree,Canada,I've heard of it but don't know much.,Weekly,No experience or particular interest.,2,4,3,2,2,4,4,2,4,4,3,3,4,5,4,4,4,5,4,4,4,4,4,4,4,4,1,1,1,1,2,1,1,1,3,2,3,2,2,4,2,4,4,4,4,4,2,3,4,4,4,4,1,1,1,1,1,4,4,4,4,4,3,4,4,
25 - 34,Male,Bachelor's Degree,México,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",4,4,3,3,5,4,3,3,4,4,5,4,4,5,5,4,4,5,3,4,4,3,5,5,4,4,1,1,1,1,1,3,3,2,2,1,3,1,1,1,1,1,1,2,4,4,4,3,2,4,2,2,1,1,1,1,1,5,5,4,4,4,4,2,3, The first ones are better than the last ones.
18 - 24,Male,High School or lower,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,No experience or particular interest.,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,1,1,1,1,1,1,4,4,5,4,
25 - 34,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,3,4,3,5,4,3,3,4,4,3,2,2,2,2,1,2,3,2,2,2,5,5,4,3,4,4,3,4,4,2,2,1,2,5,4,5,5,No comments 
35 - 44,Male,Bachelor's Degree,France,I have some experience (have taken courses or dabble in it).,Multiple times a day,No experience or particular interest.,5,3,4,5,4,4,4,3,3,5,3,4,4,5,4,4,5,5,5,5,4,5,5,4,5,5,1,1,1,1,1,2,3,2,2,3,2,1,2,1,1,2,1,1,4,4,3,4,4,4,2,1,1,1,2,1,1,5,5,5,5,5,5,5,5,
25 - 34,Male,High School or lower,Hungary,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,5,4,5,4,4,4,4,5,5,5,5,1,1,1,1,2,2,2,3,3,3,2,1,4,1,1,1,2,1,3,5,4,4,4,2,2,3,1,1,1,1,1,5,5,5,5,5,1,5,5,
45 - 54,Female,Bachelor's Degree,Poland,I'm familiar but don't have hands-on experience.,Daily,No experience or particular interest.,2,4,2,2,1,5,5,5,5,5,4,4,5,4,4,2,1,2,5,5,5,5,5,4,4,5,1,1,1,1,1,1,2,1,1,5,5,2,3,1,1,1,1,1,2,2,2,1,4,5,4,5,1,1,1,1,1,4,4,2,1,5,5,5,5,
35 - 44,Female,Bachelor's Degree,Germany ,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",1,2,2,1,1,5,5,4,4,2,2,4,3,5,5,5,4,3,2,3,3,2,5,5,4,5,1,2,1,1,1,1,1,1,1,2,2,1,1,4,2,2,3,2,5,5,5,4,5,5,5,4,1,1,1,1,2,5,5,5,5,5,5,5,5,
35 - 44,Male,High School or lower,South Africa,I've heard of it but don't know much.,Multiple times a day,No experience or particular interest.,4,4,4,4,4,4,4,2,3,5,4,3,3,1,2,2,1,3,1,1,1,1,5,4,3,5,1,1,1,1,1,1,2,2,1,2,2,1,3,1,1,4,3,3,5,5,5,5,5,5,5,5,1,1,1,1,1,2,2,1,2,4,1,2,2,No.
25 - 34,Female,Master's Degree,Greece,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",4,5,4,2,4,5,3,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,2,2,2,4,4,1,1,1,1,1,1,1,1,2,2,2,4,4,3,2,1,1,1,1,1,5,5,5,5,5,5,5,5,o
25 - 34,Male,Bachelor's Degree,Poland,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,4,5,4,4,4,5,4,4,4,4,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,1,3,3,2,1,3,4,5,4,5,5,5,5,5,5,5,5,5,3,4,5,4,5,5,5,5,5,5,5,5,5,
18 - 24,Female,High School or lower,Pakistan ,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",2,2,2,3,1,4,4,3,3,4,3,2,4,2,3,3,4,2,2,2,3,2,4,4,4,4,2,2,2,2,1,2,2,3,2,2,2,1,4,1,1,2,1,2,4,3,3,4,3,4,1,2,1,1,1,1,1,4,4,2,3,4,4,2,3,
25 - 34,Male,Master's Degree,United kingdom,I have some experience (have taken courses or dabble in it).,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,4,4,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,2,4,4,4,3,3,3,3,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,
25 - 34,Male,High School or lower,Israel,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,4,5,4,5,5,5,4,5,5,3,5,5,2,1,2,2,2,2,4,4,2,5,4,5,5,2,2,1,2,2,4,4,2,2,1,2,1,2,1,1,2,4,4,4,4,2,2,5,4,4,4,1,1,1,1,1,2,2,2,2,5,2,4,5,
55 - 64,Male,Associate's Degree or equivalent,Poland,I'm familiar but don't have hands-on experience.,Daily,"Yes, as a hobby or pastime.",4,5,5,4,4,5,5,4,4,4,5,4,4,4,5,4,4,3,4,4,4,4,5,5,4,5,2,2,1,1,2,2,2,2,1,4,4,2,2,3,2,2,4,3,3,4,4,3,5,5,4,5,1,1,1,1,2,2,3,3,2,5,3,4,5,
18 - 24,Female,High School or lower,South Africa,I'm familiar but don't have hands-on experience.,Multiple times a day,No experience or particular interest.,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,1,1,1,1,1,2,2,3,2,1,3,1,1,2,2,2,2,4,4,4,2,4,3,4,2,2,1,2,2,1,2,4,4,2,4,4,4,3,2,
25 - 34,Male,High School or lower,Sweden,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",4,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,4,4,4,5,5,4,4,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,4,2,4,2,
18 - 24,Female,High School or lower,New Zealand,I'm familiar but don't have hands-on experience.,Weekly,"Yes, as a hobby or pastime.",5,4,5,4,5,2,4,3,3,5,4,5,4,4,3,5,2,4,2,2,3,3,5,4,5,4,1,1,1,1,1,3,4,3,3,3,4,2,4,1,1,1,1,1,4,4,2,1,4,5,3,3,1,1,1,1,1,1,1,2,4,2,4,3,3,no comments. 
25 - 34,Male,Master's Degree,Poland,I have some experience (have taken courses or dabble in it).,Daily,"Yes, as a hobby or pastime.",4,4,3,4,4,4,4,3,5,5,4,5,4,3,2,3,2,2,2,3,2,3,4,3,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
35 - 44,Female,Bachelor's Degree,England ,I'm familiar but don't have hands-on experience.,Monthly,"No, but I appreciate the arts and often view such content.",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
35 - 44,Female,High School or lower,England,I've heard of it but don't know much.,Multiple times a day,"No, but I appreciate the arts and often view such content.",2,2,2,2,2,4,4,4,4,3,4,2,2,4,4,4,5,5,4,4,4,4,5,5,5,4,1,1,1,1,1,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,5,5,5,5,2,2,2,2,2,4,4,4,4,5,4,5,4,No
18 - 24,Male,Bachelor's Degree,Slovenia,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",4,5,5,4,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,1,1,1,1,1,4,4,4,4,5,4,5,4,
18 - 24,Non-binary / third gender,High School or lower,Poland,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,4,4,5,5,3,4,3,4,5,5,5,5,5,4,5,5,5,2,4,5,5,5,4,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,2,1,2,4,4,1,1,1,4,1,1,1,1,1,1,4,5,5,1,5,5,2,5,5,
65 - 74,Male,Associate's Degree or equivalent,Greece,I've heard of it but don't know much.,Monthly,"No, but I appreciate the arts and often view such content.",2,2,2,2,3,2,2,2,2,2,2,3,2,1,1,2,2,1,1,1,1,2,1,1,1,1,3,3,4,3,4,2,3,2,4,4,5,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,4,4,4,4,4,3,3,4,3,4,4,3,3,
18 - 24,Male,Bachelor's Degree,Spain,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",4,4,4,4,3,4,4,4,3,4,4,3,4,5,5,5,4,4,5,5,5,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,4,4,4,4,3,2,4,3,No
18 - 24,Female,Bachelor's Degree,Portugal,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",4,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,5,4,5,5,1,1,1,1,1,2,2,1,2,2,3,1,1,4,4,4,2,4,5,5,5,5,5,5,5,4,1,2,1,1,1,5,5,4,5,5,4,5,5,No.
25 - 34,Male,Bachelor's Degree,mexico,I'm familiar but don't have hands-on experience.,Daily,"Yes, I'm a professional.",5,5,4,3,2,5,5,4,5,5,5,4,4,5,5,5,3,4,2,1,2,2,4,5,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,4,1,4,4,4,5,5,4,5,4,5,3,"the exercise to recognize faults in the images and to know that they were generated with ia became easier, until the part of the illustration that I liked a lot."
18 - 24,Male,High School or lower,Latvia,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",2,3,2,1,2,1,4,5,3,2,3,2,2,2,3,4,2,1,4,5,5,4,5,4,5,4,1,1,1,1,1,4,5,5,4,2,2,1,2,2,2,5,1,4,4,4,5,4,4,4,2,4,1,1,1,1,1,5,5,4,4,5,4,5,5,"Some of the images suffered from having the main focal point (the stop sign) being rife with artifacts or cartoony/unrealistic coloring, while the backgrounds pretty much always were much better quality and more lifelike."
18 - 24,Male,Bachelor's Degree,Poland,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",4,4,3,3,3,4,5,5,4,2,2,3,3,5,5,5,5,5,2,2,2,2,4,4,4,4,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,3,2,3,4,2,4,4,
18 - 24,Female,Associate's Degree or equivalent,France,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, I'm a professional.",5,5,5,5,5,5,5,5,5,3,3,2,2,5,5,5,5,5,1,1,1,1,5,5,5,5,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,,1,1,4,3,1,1,
25 - 34,Female,Master's Degree,UK,I have some experience (have taken courses or dabble in it).,Weekly,"No, but I appreciate the arts and often view such content.",3,5,4,3,4,4,5,5,5,3,4,3,3,3,5,4,3,4,2,2,3,3,4,4,4,4,1,3,2,2,3,2,2,3,2,1,3,2,2,2,2,2,1,2,4,3,3,4,4,4,2,2,1,1,2,2,2,3,2,3,2,5,5,3,3,
35 - 44,Female,Bachelor's Degree,Canada,I have some experience (have taken courses or dabble in it).,Multiple times a day,I have taken courses or received training.,4,4,4,3,4,4,5,4,4,4,2,2,2,4,4,5,5,4,3,4,4,2,4,3,3,3,1,1,1,1,2,2,3,2,2,2,1,1,1,2,2,3,4,4,4,4,4,4,3,4,3,4,1,1,1,1,1,5,5,4,4,4,2,4,3,
25 - 34,Female,High School or lower,South Africa ,I'm familiar but don't have hands-on experience.,Daily,I have taken courses or received training.,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,,,4,3,5,4,2,4,4,3,3,No
45 - 54,Male,High School or lower,uk,I'm familiar but don't have hands-on experience.,Weekly,No experience or particular interest.,3,4,3,2,5,4,5,4,4,4,3,4,4,5,5,4,4,5,4,5,4,5,5,5,4,5,4,5,5,4,4,3,4,5,3,5,5,4,5,2,2,3,2,2,4,3,4,4,3,4,4,3,1,2,2,3,2,3,4,4,3,2,2,3,2,none
55 - 64,Male,High School or lower,England,I've heard of it but don't know much.,Weekly,"No, but I appreciate the arts and often view such content.",4,3,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,2,4,4,4,4,5,4,4,4,1,1,2,1,2,2,2,3,2,4,3,2,2,2,2,2,4,5,4,4,4,2,5,5,2,4,1,1,1,1,1,4,4,4,2,4,4,3,3,No comments
65 - 74,Male,High School or lower,South Africa,I've heard of it but don't know much.,Rarely,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,3,5,5,5,2,4,4,4,2,1,1,1,1,5,5,2,1,1,1,1,2,1,1,1,1,1,5,2,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,2,3,1,1,4,5,5,4,4,5,3,4,3,
45 - 54,Male,High School or lower,Uk,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,4,4,4,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,1,1,1,1,1,3,3,3,3,3,2,2,2,
35 - 44,Male,Master's Degree,Usa,I'm familiar but don't have hands-on experience.,Monthly,"No, but I appreciate the arts and often view such content.",4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,2,2,4,4,3,4,4,4,4,4,
25 - 34,Male,Bachelor's Degree,Pakistan ,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",2,3,2,2,3,5,4,4,4,4,4,4,4,4,5,4,4,4,2,2,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,
18 - 24,Male,Bachelor's Degree,Pakistan,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",4,4,5,4,5,5,5,5,4,4,3,4,3,5,5,5,5,5,4,4,3,3,5,5,5,4,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,1,1,1,1,2,4,4,3,3,5,4,3,4,
